mmsi,name,year,gaps,flags,either_endpoint_inside_eez
412326789,60526,2017,1,CHN,0
416236800,XING HUA SHENG NO669,2017,2,TWN,0
416236800,XING HUA SHENG NO669,2018,2,TWN,0
412331051,8,2017,1,CHN,0
416233800,XING HUA SHENG NO616,2017,8,TWN,0
416233800,XING HUA SHENG NO616,2018,2,TWN,0
416233800,XING HUA SHENG NO616,2020,1,TWN,0
416233800,XING HUA SHENG NO616,2022,1,TWN,0
416004186,HUA SHENG NO.636,2017,6,TWN,0
416004186,HUA SHENG NO.636,2018,2,TWN,0
416004186,HUA SHENG NO.636,2019,1,TWN,0
416004186,HUA SHENG NO.636,2026,1,TWN,0
412439598,OU YA 28,2017,1,CHN,0
412439598,OU YA 28,2018,3,CHN,0
412439598,OU YA 28,2019,7,CHN,0
412439598,OU YA 28,2022,3,CHN,0
412439598,OU YA 28,2026,6,CHN,0
416246500,CHIN CHUAN HSING,2017,4,TWN,0
416246500,CHIN CHUAN HSING,2018,6,TWN,0
416246500,CHIN CHUAN HSING,2019,2,TWN,0
416246500,CHIN CHUAN HSING,2020,1,TWN,0
416246500,CHIN CHUAN HSING,2021,2,TWN,0
416246500,CHIN CHUAN HSING,2022,1,TWN,0
416246500,CHIN CHUAN HSING,2023,1,TWN,0
412439761,Y0NG FA 6,2017,10,CHN,0
412439761,Y0NG FA 6,2018,1,CHN,0
412439761,Y0NG FA 6,2019,3,CHN,0
412439761,Y0NG FA 6,2020,2,CHN,0
412439761,Y0NG FA 6,2021,2,CHN,0
416239500,CHUN I NO.1,2017,2,TWN,0
416239500,CHUN I NO.1,2018,3,TWN,0
416239500,CHUN I NO.1,2020,2,TWN,0
416004693,WIN FAR YING 8,2017,2,TWN,0
416004693,WIN FAR YING 8,2018,4,TWN,0
740353000,ARGOS PEREIRA,2017,7,FLK,0
740353000,ARGOS PEREIRA,2018,2,FLK,0
740353000,ARGOS PEREIRA,2019,2,FLK,0
740353000,ARGOS PEREIRA,2020,2,FLK,0
740353000,ARGOS PEREIRA,2023,1,FLK,0
416241900,WIN FAR FU NO 1,2017,3,TWN,0
416241900,WIN FAR FU NO 1,2018,4,TWN,0
412331074,LU RONG YUAN YU 179,2017,3,CHN,0
412331074,LU RONG YUAN YU 179,2018,9,CHN,0
412331074,LU RONG YUAN YU 179,2019,3,CHN,0
412331074,LU RONG YUAN YU 179,2020,12,CHN,0
412331074,LU RONG YUAN YU 179,2021,1,CHN,0
412318243,LIAC YU 9,2017,1,CHN,0
440201000,EUNHAE NO.109,2017,4,KOR,0
440201000,EUNHAE NO.109,2018,3,KOR,0
412679190,XINSHIJI16,2017,3,CHN,0
412679190,XINSHIJI16,2018,1,CHN,0
416004842,JYI YANG,2017,7,TWN,0
416004842,JYI YANG,2018,3,TWN,0
416004842,JYI YANG,2020,1,TWN,0
412420377,ZHAN HAI 007,2017,4,CHN,1
412420377,ZHAN HAI 007,2018,7,CHN,0
412420377,ZHAN HAI 007,2019,6,CHN,0
412420377,ZHAN HAI 007,2020,10,CHN,0
412420377,ZHAN HAI 007,2021,11,CHN,0
412420377,ZHAN HAI 007,2022,9,CHN,0
412420377,ZHAN HAI 007,2023,6,CHN,0
412420377,ZHAN HAI 007,2024,18,CHN,0
412331055,LUHUANGYUANYU116,2017,12,CHN,2
412331055,LUHUANGYUANYU116,2018,1,CHN,0
412331055,LUHUANGYUANYU116,2019,9,CHN,0
412331055,LUHUANGYUANYU116,2024,2,CHN,0
416236900,SHUENN MAN 626,2017,5,TWN,0
416236900,SHUENN MAN 626,2018,6,TWN,0
416236900,SHUENN MAN 626,2019,1,TWN,0
412368601,JING YUAN 601  &&&&&,2017,1,CHN,1
770576134,MARIANNE,2017,3,URY,1
770576134,MARIANNE,2018,2,URY,0
